STARE JOC	+1 la fiecare entity pe sector
SIMULARE	100000 jocuri
			10% random wins
K-means		2048
ALPHA		0.7
GAMMA 		0.3

games played:	100	wins: 6.0
games played:	200	wins: 10.0
games played:	300	wins: 9.33333333333
games played:	400	wins: 9.5
games played:	500	wins: 8.6
games played:	600	wins: 9.0
games played:	700	wins: 8.85714285714
games played:	800	wins: 8.375
games played:	900	wins: 8.77777777778
games played:	1000	wins: 9.1
games played:	1100	wins: 9.36363636364
games played:	1100	wins: 9.36363636364
games played:	1200	wins: 9.58333333333
games played:	1300	wins: 9.61538461538
games played:	1400	wins: 9.42857142857
games played:	1500	wins: 9.26666666667
games played:	1600	wins: 9.6875
games played:	1700	wins: 10.0588235294
games played:	1800	wins: 10.8888888889
games played:	1900	wins: 11.7368421053
games played:	2000	wins: 11.95
games played:	2100	wins: 12.2857142857
games played:	2200	wins: 12.3636363636
games played:	2300	wins: 12.2173913043
games played:	2400	wins: 12.4583333333
games played:	2500	wins: 12.72
games played:	2600	wins: 12.6538461538
games played:	2700	wins: 12.7407407407
games played:	2800	wins: 12.7142857143
games played:	2900	wins: 12.8620689655
games played:	3000	wins: 12.8333333333
games played:	3100	wins: 12.8709677419
games played:	3200	wins: 13.0625
games played:	3300	wins: 13.0909090909
games played:	3400	wins: 13.2941176471
games played:	3500	wins: 13.3428571429
games played:	3600	wins: 13.4166666667
games played:	3700	wins: 13.4324324324
games played:	3800	wins: 13.3947368421
games played:	3900	wins: 13.4358974359
games played:	4000	wins: 13.575
games played:	4100	wins: 13.6341463415
games played:	4200	wins: 13.7380952381
games played:	4300	wins: 13.8604651163
games played:	4400	wins: 13.75
games played:	4500	wins: 13.8888888889
games played:	4600	wins: 13.8913043478
games played:	4700	wins: 14.0
games played:	4800	wins: 14.0416666667
games played:	4900	wins: 14.1224489796
games played:	5000	wins: 14.14
games played:	5100	wins: 14.2156862745
games played:	5200	wins: 14.1153846154
games played:	5300	wins: 14.2452830189
games played:	5400	wins: 14.3703703704
games played:	5500	wins: 14.5636363636
games played:	5600	wins: 14.5178571429
games played:	5700	wins: 14.5087719298
games played:	5800	wins: 14.5344827586
games played:	5900	wins: 14.6271186441
games played:	6000	wins: 14.6666666667
games played:	6100	wins: 14.6393442623
games played:	6200	wins: 14.5967741935
games played:	6300	wins: 14.5396825397
games played:	6300	wins: 14.5396825397
games played:	6400	wins: 14.515625
games played:	6500	wins: 14.5384615385
games played:	6600	wins: 14.5
games played:	6700	wins: 14.4776119403
games played:	6800	wins: 14.5
games played:	6900	wins: 14.5072463768
games played:	7000	wins: 14.5
games played:	7100	wins: 14.4366197183
games played:	7200	wins: 14.4305555556
games played:	7300	wins: 14.4931506849
games played:	7400	wins: 14.5540540541
games played:	7500	wins: 14.5733333333
games played:	7600	wins: 14.5789473684
games played:	7700	wins: 14.5454545455
games played:	7800	wins: 14.5128205128
games played:	7900	wins: 14.5569620253
games played:	8000	wins: 14.5625
games played:	8100	wins: 14.5679012346
games played:	8200	wins: 14.5975609756
games played:	8300	wins: 14.6746987952
games played:	8400	wins: 14.6785714286
games played:	8500	wins: 14.6352941176
games played:	8600	wins: 14.5813953488
games played:	8700	wins: 14.5287356322
games played:	8800	wins: 14.5
games played:	8900	wins: 14.4606741573
games played:	9000	wins: 14.4222222222
games played:	9100	wins: 14.3846153846
games played:	9200	wins: 14.4347826087
games played:	9300	wins: 14.5161290323
games played:	9400	wins: 14.5106382979
games played:	9500	wins: 14.4526315789
games played:	9600	wins: 14.46875
games played:	9700	wins: 14.4432989691
games played:	9800	wins: 14.4591836735
games played:	9900	wins: 14.4444444444
games played:	10000	wins: 14.41
games played:	10100	wins: 14.3663366337
games played:	10200	wins: 14.4019607843
games played:	10300	wins: 14.3883495146
games played:	10400	wins: 14.3461538462
games played:	10500	wins: 14.3523809524
games played:	10600	wins: 14.3679245283
games played:	10700	wins: 14.3271028037
games played:	10800	wins: 14.3148148148
games played:	10900	wins: 14.3853211009
games played:	11000	wins: 14.4454545455
games played:	11100	wins: 14.4504504505
games played:	11200	wins: 14.5
games played:	11300	wins: 14.5132743363
games played:	11400	wins: 14.5526315789
